Video ID,Title (short & english),Animate,Pilot,Question English [false/CORRECT],Question German [false/CORRECT]
1,ballBalance,0,1,What kind of ball is in the scene? [tennis ball/VOLLEYBALL],Was für ein Ball ist in der Szene? [tenisball/VOLLEYBALL]
2,bed,0,1,Is there a cat in the bed? [NO/yes],Ist eine Katze im Bett? [NEIN/ja]
3,billboard,0,1,Is it day or night? [NIGHT/day],Ist es nachts oder tagsüber? [NACHTS/tagsüber]
4,birdFalling,0,0,What is written on the house? [stuttgart/REICHENBACH],Was steht auf dem Haus geschrieben? [stuttgart/REICHENBACH]
5,blueBoiler,0,0,How many kettles are visible? [one/TWO],Wie viele Wasserkocher sind zu sehen? [einer/ZWEI]
6,bottleString,0,0,What is the bottle hanging on? [STRING/tape],Woran hängt die Flasche? [FADEN/klebeband]
7,candle,0,1,How many candles are on the table? [five/THREE],Wie viele Kerzen sind auf dem Tisch? [fünf/DREI]
8,carStart,0,0,Is it raining? [NO/yes],Regnet es? [NEIN/ja]
9,clock,0,1,Are there numbers on the clock? [YES/no],Hat die Uhr Ziffern? [JA/nein]
10,dino,0,0,What is the dino attached to? [DOOR FRAME/ceiling],Woran ist der Dino befestigt? [TÜRRAHMEN/decke]
11,disinfectant,0,0,What is the color of the walls? [BLACK/white],Welche Farbe haben die Wände? [SCHWARZ/weiss]
12,elevatorEmpty,0,1,How many elevator doors can be seen? [two/THREE],Wie viele Fahrstühle sind zu sehen? [zwei/DREI]
13,espresso,0,1,Where is the coffee machine located? [KITCHEN/living room],Wo steht die Kaffeemaschine? [KÜCHE/wohnzimmer]
14,gondolaUp,0,0,What color is the gondola? [GRAY/red],Welche Farbe hat die Gondel? [GRAU/rot]
15,kettle,0,1,What is lying next to the kettle? [TEA BAGS/coffee beans],Was liegt neben dem Wasserkocher? [TEEBEUTEL/kaffeebohnen]
16,laundry,0,1,What color does the towel in the laundry have? [red/GREEN],Welche Farbe hat das Handtuch in der Wäsche? [rot/GRÜN]
17,mokaPot,0,1,Which room is shown? [bath room/KITCHEN],Welcher Raum wird gezeigt? [badezimmer/KÜCHE]
18,openDoorInside,0,1,On which side of the door is the knob? [RIGHT/left],An welcher Seite der Tür ist der Knauf? [RECHTS/links]
19,penDrawing,0,0,How many sheets of paper are visible? [four/TWO],Wie viele Blatt Papier sind zu sehen? [vier/ZWEI]
20,phone,0,1,What color is the desk? [brown/WHITE],Welche Farbe hat der Schreibtisch? [braun/WEISS]
21,receipt,0,1,What is the receipt on? [table/BENCH],Worauf liegt der Kassenbon? [tisch/BANK]
22,rippingPaper,0,0,Is a mug on the desk? [NO/yes],Steht eine Tasse auf dem Schreibtisch? [NEIN/ja]
23,robot,0,1,Does the locomotive have a wagon attached? [YES/no],Hat die Lokomotive einen Wagen hinter sich? [JA/nein]
24,sealion,0,1,What kind of ball is floating on the water? [volleyball/BASKETBALL],Was für ein Ball schwimmt auf dem Wasser? [volleyball/BASKETBALL]
25,skiLift,0,0,Do the houses have windows? [YES/no],Haben die Häuser Fenster? [JA/nein]
26,snip,0,0,What is written on the pen?  [EDDING/stabilo],Was steht auf dem Stift? [EDDING/stabilo]
27,sparkling2,0,1,What is in the scene? [GLASS/mug],Was ist in der Szene? [glas/TASSE]
28,stapler,0,1,What happens in the scene? [STAPLING/printing],Was passiert in der Szene? [TACKERN/drucken]
29,teabagOut,0,0,Are scissors in the scene? [YES/no],Ist eine Schere in der Szene? [JA/nein]
30,toaster,0,1,Is a bottle in the scene? [yes/NO],Ist eine Flasche in der Szene? [ja/NEIN]
31,toytrain,0,1,Which color does the locomotive have? [GREEN/blue],Welche Farbe hat die Lokomotive? [GRÜN/blau]
32,toytrainHouses,0,0,Are dogs visible? [no/YES],Kann man Hunde sehen? [nein/JA]
33,trafficLight,0,1,What does the sign show? [STREET NAME/yield],Was zeigt das Schild? [STRASSEN NAMEN/vorfahrt gewähren]
34,trafficLight2,0,1,Are there multiple traffic lights? [YES/no],Gibt es mehrere Ampeln? [JA/nein]
35,trinkvogel2,0,0,Does the toy have a hat? [no/YES],Hat das Spielzeug einen Hut? [nein/JA]
36,ventilator,0,1,What color is the arm chair? [GREEN/blue],Welche Farbe hat der Sessel? [GRÜN/blau]
37,waterbottle,0,1,Where is this sink? [bath room/KITCHEN],In welchem Zimmer ist das Waschbecken? [badezimmer/KÜCHE]
38,watercooler,0,0,What is on the shelf? [books/TEA],Was ist auf dem Regal? [bücher/TEE]
39,waterHose,0,1,What color is the hose? [YELLOW/blue],Welche Farbe hat der Gartenschlauch? [GELB/blau]
40,whiteBoard,0,0,What is in the scene? [black board/WHITE BOARD],Was ist in der Szene? [kreidetafel/WHITEBOARD]
41,axolotl,1,1,How many animals are in the aquarium? [one/MULTIPLE],Wie viele Tiere sind im Aquarium? [eins/MEHRERE]
42,bench,1,1,Is the person sitting outside? [YES/no],Sitzt die Person draußen? [JA/Nein]
43,bigAnimalBackground,1,1,What do the animals stand on? [grass/STONES],Worauf stehen die Tiere? [gras/STEINE]
44,bikeUnlocking,1,0,What color is the wall? [GRAY/blue],Welche Farbe hat die Wand? [GRAU/blau]
45,bird,1,1,Where is the bird sitting? [TREE/roof],Wo sitzt der Vogel? [BAUM/dach]
46,catcafe,1,1,What color is the cat? [white/BLACK],Welche Farbe hat die Katze? [weiss/SCHWARZ]
47,chessBoard,1,1,What game is on the table? [poker/CHESS],Welches Spiel steht auf dem Tisch? [poker/SCHACH]
48,chimpanzee,1,1,Which animal lives in the enclosure?? [parrot/CHIMPANZEE],Welches Tier lebt in dem Gehege? [papagei/SCHIMPANSE]
49,coffeeOnSofa,1,1,What is the person sitting on? [chair/SOFA],Worauf sitzt die Person? [stuhl/SOFA]
50,construction,1,0,Is the sun shining? [YES/no],Scheint die Sonne? [JA/nein]
51,conversation,1,1,Are the two people sitting opposite each other? [YES/no],Sitzen sich die beiden Personen gegenüber? [JA/nein]
52,crow,1,1,Where is the scene located? [train station/PARK],Wo spielt die Szene? [bahnhof/PARK]
53,crowBall,1,1,What kind of bird is in the background? [pigeon/CROW],Was für ein Vogel ist im Hintergrund? [taube/KRÄHE]
54,elevatorWrongSide,1,1,Which elevator door is the person waiting in front of? [left/RIGHT],Vor welcher Aufzugstür wartet die Person? [links/RECHTS]
55,fingerTapping,1,0,Which hand is visible? [right/LEFT],Welche Hand ist sichtbar? [rechts/LINKS]
56,fish,1,1,What is at the bottom of the aquarium? [STONES/sand],Was ist am Boden des Aquariums? [STEINE/sand]
57,fly,1,1,Is the scene outside or inside? [OUTSIDE/inside],Spielt die Szene draussen oder drinnen? [DRAUSSEN/drinnen]
58,giraffe,1,1,Is there a fence in the scene? [no/YES],War in der Szene ein Zaun? [nein/JA]
59,heron,1,1,What is behind the bird? [pond/BRANCH],Was ist hinter dem Vogel? [teich/AST]
60,lake,1,1,Are there multiple people in the scene? [no/YES],Sind mehrere Leute zu sehen? [JA/nein]
61,lizard,1,1,Does the lizard look at the camera? [yes/NO],Schaut die Eidechse in die Kamera? [ja/NEIN]
62,mail,1,1,Is the man wearing jeans or shorts? [SHORTS/jeans],Trägt der Mann Jeans oder Shorts? [SHORTS/jeans]
63,monitorLizard,1,1,Which side is the animal looking? [RIGHT/Left],Zu welcher Seite schaut das Tier? [RECHTS/Links]
64,monkey2,1,1,What does the monkey sit on? [ground/TREE],Worauf sitzt der Affe? [boden/BAUM]
65,openDoorOutside,1,1,What color do the person's shorts have? [BEIGE/blue],Welche Farbe haben die Shorts der Person? [BEIGE/blau]
66,pedestrian,1,1,How many people are visible? [two/THREE],Wie viele Menschen sind zu sehen? [vier/DREI]
67,plank,1,1,Is the person male or female? [MALE/female],Ist die Person männlich oder weiblich? [MÄNNLICH/weiblich]
68,reindeers,1,1,How many animals can you see? [TWO/one],Wie viele Tiere kann man sehen? [ZWEI/eins]
69,robot2,1,1,How many people are visible? [TWO/three],Wie viele Leute sind zu sehen? [ZWEI/drei]
70,selfie,1,1,What building is in the background? [PALACE/skyscraper],Was für ein Gebäude ist im Hintergrund? [PALAST/wolkenkratzer]
71,shoebill,1,1,What color do the bird's feathers have? [BLACK/red],Welche Farbe haben die Federn des Vogels? [SCHWARZ/rot]
72,shoot,1,1,Are there animals in the scene? [yes/NO],Sind Tiere zu sehen? [ja/NEIN]
73,statues,1,1,What color is the sky? [gray/BLUE],Welche Farbe hat der Himmel? [grau/BLAU]
74,throw,1,1,Are there people in the background? [YES/no],Sind Leute im Hintergrund zu sehen? [nein/JA]
75,trash,1,1,What is the shed made of? [WOOD/stone],Woraus ist der Unterstand gemacht? [HOLZ/stein]
76,watering,1,1,Is there a dog in the scene? [NO/yes],Ist ein Hund in der Szene? [NEIN/ja]
77,work,1,1,What is the man wearing? [jacket/SHIRT],Was trägt der Mann? [jacke/SHIRT]
78,work2,1,1,Are there any plants in the room? [yes/NO],Sind in dem Raum Pflanzen? [ja/NEIN]
79,yoga,1,1,What kind of floor is in the room? [WOOD/tiles],Was für ein Boden ist in dem Zimmer? [HOLZ/fliessen]
80,youtube,1,0,What content is the person watching? [DOCUMENTARY/music video],Welche Inhalte sieht sich die Person an? [DOKUMENTATION/musikvideo]